Timestamp,What is the title of this video post?,What is the date of this video post,Visibility,Subjects (check as many as applicable),Content,Post Content,Please describe the inaccuracy if one was observed
4/29/2020 17:38:53,Ring doorbell stolen,10/6/2018,The video is poorly lit and it is impossible to be sure what is happening,I cannot tell answer this question because the video is too unclear or poorly lit,"This video might suggest a possible crime against property (theft, damage)",There is no video/audio submitted.,"Although the submitter claims that his RING camera was stolen, there is no timestamp or other information, only a blank submission. The submission itself is content free."
4/29/2020 17:46:51,Suspicious female and male ringing doorbell,4/16/2018,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be female or female-identified, One or more of the subjects in the video appear to be White, I cannot tell answer this question because the video is too unclear or poorly lit",This video contains no evidence of a crime,The post accompanying this video does not accurately reflect the video content,The video presented does not include most of the actions described. It stops when the female turns around and does not show the male moving at allThe video presented does not include most of the actions described. It stops when the female turns around and does not show the male moving at all. It does not include the assertion that the police will be called nor any video showing the submitter's husband or further action.
4/29/2020 20:50:36,Strange behavior,12/13/2018,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be White",This video contains no evidence of a crime,The post accompanying this video does not accurately reflect the video content,"This is a person taking a bunch of panoramic pictures. Why is totally unknown. There is not sufficient views of the opposite side of the street, which is being photographed to even guess what has interested the photographer. I have made similar photgraphs. There is no attempt to enter a building. It is possible the photographer is working for a real estate client, or other agency interested in that street; who knows?"
5/2/2020 17:32:51,Man parked himself outside my front door,1/17/2020,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be Latino/a/X","This video might suggest a possible crime against property (theft, damage)","The post accompanying this video accurately reflects the video content, Video starts with man seated, so the part about him bringing his own chair, etc. can't be verified, but otherwise, the description seems to be accurate.","If the Ring owner's address is a house, then the information posted to Ring appears to be accurate, but if it's an apartment complex, then the area where the man is seated could be a shared patio."
5/2/2020 17:42:21,Help us find a vandal - 6th Ave,5/7/2019,The video is partially lit so you can see some of what is happening but it is not totally clear,I cannot tell answer this question because the video is too unclear or poorly lit,"This video might suggest a possible crime against property (theft, damage)",The subject shines a light onto the camera lens for approx. 8 sec so activity cannot be seen,"The subject's arm appears around the corner, and then subject shines a light onto the camera lens for approx. 8 sec; then subject's arm is seen retreating as subject leaves. My guess is that it's a white male, but the video was shot at night, and I don't know that for certain."
5/2/2020 17:53:46,Guy saying Can you See Me..Can you See Me?,1/13/2018,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be Black",This video contains no evidence of a crime,The post accompanying this video accurately reflects the video content,Subject is wearing a tie and appears to be soliciting at night; he has a name tag and a thin spiral-bound book
5/2/2020 18:06:22,Random stranger trying to open our door,10/10/2019,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be Latino/a/X",This video contains no evidence of a crime,"The post accompanying this video does not accurately reflect the video content, Subject rang the doorbell at 4:30 AM, not 4:00 AM, but otherwise, desciption was accurate",
5/2/2020 18:11:24,Succulent Thiefs,3/3/2019,The video is clearly enough lit that it is easy to see what is happening,"One or more of the subjects in the video appear to be male or male-identified, One or more of the subjects in the video appear to be female or female-identified, One or more of the subjects in the video appear to be White","This video seems to document fairly clearly a crime against property (theft, damage)",The post accompanying this video accurately reflects the video content,
5/2/2020 18:19:55,Another thief looking for an easy way in,5/2/2019,The video is clearly enough lit that it is easy to see what is happening,One or more of the subjects in the video appear to be White,"This video might suggest a possible crime against property (theft, damage)","The post accompanying this video accurately reflects the video content, Can't verify that this is the 2nd time that this has happened, but otherwise, description is accurate",Subject appeared to be a white male but not sure.
5/2/2020 18:34:04,This guy was ringing the door and acting suspiciou,8/24/2018,The video is clearly enough lit that it is easy to see what is happening,One or more of the subjects in the video appear to be male or male-identified,This video contains no evidence of a crime,"Camera was pointed towards street, and as subject moved towards building, only this hat was visible. Could not tell his intentions.",
